2016 National Popular Vote Tracker : Overall Vote%s,,,,,,,,,,,,,
,A,B,C,D,E,F,G,H,I,J,K,L,M
1,2016 National Popular Vote Tracker,,,,,,,,,,,,
2,"Compiled from official sources by: David Wasserman @Redistrict, Cook Political Report @CookPolitical",,,,,,,,,,,,
3,"*Denotes Official/Certified Results; ""Swing State"" defined as state that flipped from '12 or was decided by less than 5%.",,,,,,,,,,,,
4,,,,,,,,,,,,,
5,State,Clinton (D),Trump (R),Others,Clinton %,Trump %,Others %,Dem '12 Margin,Dem '16 Margin,Margin Shift,Total '12 Votes,Total '16 Votes,Raw Votes vs. '12
6,,,,,,,,,,,,,
7,U.S. Total,65853516,62984824,7801446,48.2%,46.1%,5.7%,3.9%,2.1%,-1.8%,129075630,136639786,5.9%
8,13 Swing States,21433214,22249342,2348069,46.6%,48.3%,5.1%,3.6%,-1.8%,-5.4%,43939918,46030625,4.8%
9,Non-Swing States,44420302,40735482,5453377,49.0%,45.0%,6.0%,4.0%,4.1%,0.1%,85135712,90609161,6.4%
10,,,,,,,,,,,,,
11,13 Swing States,,,,,,,,,,,,
12,Arizona*,1161167,1252401,159597,45.1%,48.7%,6.2%,-9.1%,-3.5%,5.5%,2299254,2573165,11.9%
13,Colorado*,1338870,1202484,238866,48.2%,43.3%,8.6%,5.4%,4.9%,-0.5%,2569521,2780220,8.2%
14,Florida*,4504975,4617886,297178,47.8%,49.0%,3.2%,0.9%,-1.2%,-2.1%,8474179,9420039,11.2%
15,Iowa*,653669,800983,111379,41.7%,51.1%,7.1%,5.8%,-9.4%,-15.2%,1582180,1566031,-1.0%
16,Maine*,357735,335593,54599,47.8%,44.9%,7.3%,15.3%,3.0%,-12.3%,713180,747927,4.9%
17,Michigan*,2268839,2279543,250902,47.3%,47.5%,5.2%,9.5%,-0.2%,-9.7%,4730961,4799284,1.4%
18,Minnesota*,1367716,1322951,254146,46.4%,44.9%,8.6%,7.7%,1.5%,-6.2%,2936561,2944813,0.3%
19,Nevada*,539260,512058,74067,47.9%,45.5%,6.6%,6.7%,2.4%,-4.3%,1014918,1125385,10.9%
20,New Hampshire*,348526,345790,49842,46.8%,46.5%,6.7%,5.6%,0.4%,-5.2%,710972,744158,4.7%
21,North Carolina*,2189316,2362631,189617,46.2%,49.8%,4.0%,-2.0%,-3.7%,-1.6%,4505372,4741564,5.2%
22,Ohio*,2394164,2841005,261318,43.6%,51.7%,4.8%,3.0%,-8.1%,-11.1%,5580840,5496487,-1.5%
23,Pennsylvania*,2926441,2970733,218228,47.9%,48.6%,3.6%,5.4%,-0.7%,-6.1%,5753546,6115402,6.3%
24,Wisconsin*,1382536,1405284,188330,46.5%,47.2%,6.3%,6.9%,-0.8%,-7.7%,3068434,2976150,-3.0%
25,,,,,,,,,,,,,
26,Non-Swing States,,,,,,,,,,,,
27,Alabama*,729547,1318255,75570,34.4%,62.1%,3.6%,-22.2%,-27.7%,-5.5%,2074338,2123372,2.4%
28,Alaska*,116454,163387,38767,36.6%,51.3%,12.2%,-14.0%,-14.7%,-0.7%,300495,318608,6.0%
29,Arkansas*,380494,684872,65269,33.7%,60.6%,5.8%,-23.7%,-26.9%,-3.2%,1069468,1130635,5.7%
30,California*,8753788,4483810,943997,61.7%,31.6%,6.7%,23.1%,30.1%,7.0%,13038547,14181595,8.8%
31,Connecticut*,897572,673215,74133,54.6%,40.9%,4.5%,17.3%,13.6%,-3.7%,1558114,1644920,5.6%
